Micronucleus.Mn.NCE Sex Batch Micronucleus.Date.Year
-1.1714235483609 F OBT49 2011
0.00179044972420349 F OBT49 2012
-0.736496541694688 F OBT49 2012
0.53883603027845 F OBT49 2012
-1.31907853877908 F OBT49 2012
-0.375696073712805 F OBT49 2011
-0.713212478565033 F OBT49 2012
-0.918090613529616 F OBT05 2010
-0.885820454600388 F OBT05 2010
-0.120249238186835 F OBT05 2010
-0.60634495220677 F OBT05 2010
-2.5758293035489 F OBT05 2010
-1.72634305277278 F OBT05 2010
-2.17009037758456 F OBT05 2010
-1.89139655155835 F OBT05 2010
-1.18576710453333 F OBT05 2010
-1.1930312288432 F OBT05 2010
-0.64114485871392 F OBT05 2010
-1.08353408868362 F OBT05 2010
-0.29611421683301 F OBT48 2012
0.149158492863897 F OBT48 2011
-0.0698843440663749 F OBT48 2011
